2Dmemory	2Dmemory<br>二度半存储器
constructs	constructs<br>建筑图纸生成系统
consultant program	consultant program<br>顾问程序;［顾问程式］
consultation	consultation<br>咨询
Consultative Committee on International Radio (CCIR)	Consultative Committee on International Radio (CCIR)<br>国际无线电通信咨询委员会
Consultative Committee on [ZK(1]International Telegraph and Telephone (CCITT)	Consultative Committee on [ZK(1]International Telegraph and Telephone (CCITT)<br>国际电报电话咨询委员会
consumable resource	consumable resource<br>消耗性资源
consumer	consumer<br>用户,使用者,使用［用户］过程
consumer transaction facility (CTF)	consumer transaction facility (CTF)<br>用户交易(处理)设备
contact	contact<br>触点,接点,接触
contact bounce	contact bounce<br>接触颤动
contact copying	contact copying<br>接触拷贝［复制］法
contact encoder	contact encoder<br>触点译码器
contact float	contact float<br>触点浮动量
contact input	contact input<br>接点式输入(法)
contact interrogation signal	contact interrogation signal<br>接触查询信号
contact magnetic recording	contact magnetic recording<br>接触式磁记录法
contact protection	contact protection<br>接点保护
contact recording	contact recording<br>接触式(磁)记录法
contained text	contained text<br>内含文本［正文］;［内含本文］
content	content<br>内容;容量;信文
content addressability	content addressability<br>内容寻址性;［内容定址性］
content addressable memory	content addressable memory<br>相联存储器,按内容访问存储器;［内容可定址记忆］
content-addressed storage	content-addressed storage<br>按内容寻址存储器,相联存储器;［内容位址存储器］
content addressing	content addressing<br>按内容寻址技术
content analysis	content analysis<br>内容分析法
content architecture	content architecture<br>内容体系结构
content architecture class	content architecture class<br>内容体系结构类别
content architecture level	content architecture level<br>内容体系结构级别
content attribute	content attribute<br>内容属性
content conversion	content conversion<br>内容转换
content coupling	content coupling<br>内容耦合
content designator	content designator<br>内容标识符
content editing process	content editing process<br>内容编辑法
content element	content element<br>内容元素
content indicator	content indicator<br>内容指示器
contention	contention<br>争用;［竞争情况,线路竞争］
contention control	contention control<br>争用控制
contention-free protocol	contention-free protocol<br>消除争用协议
contention network	contention network<br>争用网络;［线路竞争网路］
contention PODA(CPODA)	contention PODA(CPODA)<br>争用优先需求分配信道
contention system	contention system<br>争用系统
content portion	content portion<br>内容部分
contents directory	contents directory<br>内容目录
contents list	contents list<br>目录列表
contents search	contents search<br>内容检索
context	context<br>上下文;语境
context-dependent compression	context-dependent compression<br>上下文［行文］相关压缩法
context-dependent encoding	context-dependent encoding<br>上下文［行文］相关译码法
context diagram	context diagram<br>内外关系图
context-driven line editor	context-driven line editor<br>上下文驱动的行编辑程序
context editing	context editing<br>上下文编辑法;［脉络编排］
context-free grammar	context-free grammar<br>上下文无关文法;［脉络自由文法］
context-independent encoding	context-independent encoding<br>上下文独立译码法
context indexing	context indexing<br>上下文索引法
context-sensitive grammar	context-sensitive grammar<br>上下文有关文法
context-sensitive language	context-sensitive language<br>上下文有关语言
context switching	context switching<br>上下文转接(法);［脉络转换］
contextual declaration	contextual declaration<br>上下文说明
contiguous	contiguous<br>【修】邻接的,连接的
contiguous alphabet	contiguous alphabet<br>相连字母表
contiguous area	contiguous area<br>连接区域
contiguous file	contiguous file<br>相连文件
contiguous items	contiguous items<br>相连(数据)项
continental circuit	continental circuit<br>洲内电路
continental connection	continental connection<br>洲连接
continental exchange	continental exchange<br>洲交换机
contingency interrupt	contingency interrupt<br>应急中断
contingency procedure	contingency procedure<br>应急过程
contingency table	contingency table<br>列联表
continual value logic circuit	continual value logic circuit<br>连续值逻辑电路
continuation	continuation<br>延拓,延续(法)
continuation card	continuation card<br>续卡
continuation character	continuation character<br>续行符
continuation line	continuation line<br>(延)续行;［连续行］
continue-any mode	continue-any mode<br>续任意方式［状态］
continue-specific mode	continue-specific mode<br>续指定方式［状态］
CONTINUE statement	CONTINUE statement<br>继续语句,CONTINUE语句
continuity check	continuity check<br>连续性检查;［连续核对］
continuity check message	continuity check message<br>连续性检验报文
continuity failure signal	continuity failure signal<br>连接失败信号
